Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand
Mumbai,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,17,Porsche
Mumbai,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,10,Mahindra
Kochi,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,13,Hyundai
Kochi,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,10,Nissan
Coimbatore,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,9,Honda
Delhi,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,11,Audi
Jaipur,111111,Diesel,Manual,First,17.8,1399.0,,5.0,2.0,17,Ford
Chennai,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,19,Toyota
Hyderabad,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,13,Toyota
Hyderabad,87591,Petrol,Manual,First,0.0,1086.0,,5.0,1.3,20,Hyundai
Jaipur,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,13,Maruti
Pune,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,8,Tata
Kochi,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,9,Honda
Hyderabad,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,13,Ford
Jaipur,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,12,Maruti
Delhi,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,16,Honda
Delhi,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,14,BMW
Pune,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,16,Hyundai
Bangalore,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,9,Hyundai
Hyderabad,73745,Petrol,Manual,First,17.0,1086.0,,5.0,2.1,18,Hyundai
Mumbai,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,9,Honda
Delhi,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,11,Toyota
Coimbatore,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,7,Audi
Delhi,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,12,Ford
Delhi,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,11,Mahindra
Kolkata,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,10,Honda
Kolkata,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,12,Volkswagen
Ahmedabad,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,15,Hyundai
Bangalore,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,9,Maruti
Delhi,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,15,Volkswagen
Pune,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,14,Hyundai
Mumbai,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,11,Hyundai
Pune,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,8,Datsun
Kolkata,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,15,Audi
Pune,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,16,Hyundai
Coimbatore,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,15,Maruti
Ahmedabad,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,11,Toyota
Hyderabad,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,14,Jaguar
Delhi,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,13,Mahindra
Kolkata,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,11,Hyundai
Mumbai,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,8,Toyota
Coimbatore,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,8,Maruti
Bangalore,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,11,Tata
Mumbai,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,10,BMW
Delhi,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,15,Honda
Ahmedabad,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,11,Toyota
Bangalore,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,11,Volvo
Coimbatore,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,9,Nissan
Mumbai,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,16,BMW
Mumbai,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,9,Maruti
Mumbai,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,0.85,20,Hyundai
Pune,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,11,Mercedes-Benz
Kolkata,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,7,Hyundai
Pune,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,14,Maruti
Coimbatore,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,8,Tata
Kolkata,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,11,Mahindra
Kolkata,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,16,Mercedes-Benz
Pune,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25,12,Maruti
Bangalore,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,18,Honda
Pune,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,10,Volkswagen
Kochi,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,8,Maruti
Jaipur,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,9,Mahindra
Coimbatore,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,9,Maruti
Hyderabad,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,11,Maruti
Kolkata,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,8,Mercedes-Benz
Kochi,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,6,Hyundai
Chennai,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,15,Maruti
Coimbatore,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,10,BMW
Mumbai,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,10,Honda
Delhi,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,13,Honda
Kochi,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,11,Mercedes-Benz
Kolkata,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,11,Honda
Kochi,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,9,Maruti
Kochi,80759,Petrol,Manual,Third,17.0,1086.0,,5.0,1.67,17,Hyundai
Coimbatore,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,13,Toyota
Pune,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,11,Chevrolet
Chennai,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,12,Skoda
Kochi,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,7,Maruti
Mumbai,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,12,Audi
Mumbai,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,11,BMW
Coimbatore,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,10,Audi
Chennai,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,9,Maruti
Kolkata,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,15,Mercedes-Benz
Coimbatore,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,9,Skoda
Pune,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,13,Skoda
Kochi,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,6,Hyundai
Jaipur,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,13,Volkswagen
Kolkata,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,9,Datsun
Kolkata,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,12,Honda
Delhi,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,12,Mercedes-Benz
Kochi,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,10,Honda
Ahmedabad,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9,9,Toyota
Ahmedabad,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,8,Maruti
Mumbai,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9,13,Mahindra
Kochi,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,11,Ford
Mumbai,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,13,Toyota
Chennai,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,12,Volkswagen
Jaipur,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,15,Ford
Mumbai,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0,10,BMW
Coimbatore,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66,8,Mercedes-Benz
Bangalore,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65,13,Honda
Delhi,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,12,Hyundai
Bangalore,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5,9,Mercedes-Benz
Kolkata,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5,6,Hyundai
Mumbai,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0,13,Audi
Mumbai,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45,12,Volkswagen
Jaipur,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0,8,Mini
Bangalore,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,11,Hyundai
Mumbai,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95,11,Audi
Jaipur,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,13,Chevrolet
Kochi,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89,13,Skoda
Chennai,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45,19,Ford
Hyderabad,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,11,BMW
Jaipur,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25,18,Chevrolet
Hyderabad,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,13,Volkswagen
Mumbai,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75,10,Renault
Bangalore,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,11,Mercedes-Benz
Kochi,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,8,Maruti
Delhi,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,13,Hyundai
Kochi,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04,8,Hyundai
Kochi,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31,9,Mahindra
Coimbatore,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76,7,Land
Chennai,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,15,Ford
Mumbai,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5,9,Maruti
Ahmedabad,60006,Petrol,Manual,First,0.0,,,,2.95,18,Honda
Kolkata,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,11,Honda
Jaipur,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,10,Hyundai
Kolkata,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,12,Honda
Hyderabad,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5,17,Skoda
Delhi,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35,11,Renault
Chennai,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5,8,Mahindra
Mumbai,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,9,Maruti
Kochi,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0,9,Hyundai
Jaipur,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75,16,Skoda
Pune,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5,15,Tata
Delhi,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9,10,Audi
Mumbai,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0,11,Skoda
Delhi,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,11,Toyota
Kolkata,42001,Petrol,Manual,First,16.1,,,,2.11,15,Maruti
Kochi,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96,11,Mercedes-Benz
Kolkata,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,12,Honda
Jaipur,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,13,Hyundai
Mumbai,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,11,Renault
Delhi,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15,10,Hyundai
Mumbai,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,9,Maruti
Kolkata,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5,15,Mercedes-Benz
Delhi,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0,13,Audi
Pune,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9,13,Hyundai
Mumbai,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9,8,Skoda
Hyderabad,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0,8,Skoda
Coimbatore,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22,7,Hyundai
Kolkata,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,11,Honda
Chennai,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,21,Maruti
Hyderabad,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,12,Mahindra
Coimbatore,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41,7,Mercedes-Benz
Kolkata,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,12,Maruti
Coimbatore,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92,10,Nissan
Delhi,47000,Diesel,Manual,First,17.8,1248.0,,5.0,4.1,12,Maruti
Kochi,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67,8,Mini
Bangalore,70436,Diesel,Manual,First,0.0,1498.0,99.0,,3.6,10,Ford
Jaipur,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85,18,Tata
Kochi,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32,9,Chevrolet
Mumbai,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6,13,Volkswagen
Hyderabad,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8,9,Maruti
Kolkata,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5,13,Ford
Kochi,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64,6,Toyota
Mumbai,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0,14,Hyundai
Kolkata,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87,14,Honda
Kochi,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,7,Hyundai
Kochi,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12,10,Mercedes-Benz
Mumbai,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,12,Chevrolet
Kochi,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2,10,Hyundai
Coimbatore,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3,10,Toyota
Chennai,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9,12,Maruti
Mumbai,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75,11,Toyota
Mumbai,72000,Petrol,Manual,Third,17.0,1086.0,,5.0,0.95,18,Hyundai
Kochi,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09,9,Honda
Ahmedabad,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5,11,BMW
Mumbai,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75,8,Hyundai
Chennai,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45,9,Maruti
Kolkata,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5,13,Skoda
Kochi,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1.8,19,Hyundai
Jaipur,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,3.7,11,Volkswagen
Coimbatore,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.17,8,Honda
Jaipur,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1.75,15,Hyundai
Kochi,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,21.99,7,Hyundai
Pune,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65,8,Toyota
Jaipur,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,1.85,14,Maruti
Coimbatore,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95,8,Maruti
Mumbai,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.75,11,Hyundai
Pune,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,13,Maruti
Hyderabad,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6,17,Hyundai
Hyderabad,99000,Petrol,Manual,First,0.0,1086.0,,5.0,1.75,19,Hyundai
Mumbai,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.8,15,Hyundai
Coimbatore,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,61.29,8,Mercedes-Benz
Bangalore,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,18.0,11,Mercedes-Benz
Hyderabad,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35,11,Maruti
Bangalore,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.75,9,Hyundai
Pune,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0,15,Maruti
Delhi,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,10.0,9,Renault
Delhi,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,1.65,15,Fiat
Coimbatore,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,45.77,8,BMW
Bangalore,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.25,15,Hyundai
Pune,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8,9,Toyota
Mumbai,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,0.55,23,Maruti
Hyderabad,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.15,7,Maruti
Pune,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,7.0,12,Mahindra
Pune,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,3.75,8,Tata
Mumbai,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,8.5,8,Ford
Jaipur,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35,13,Maruti
Kochi,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.26,9,Maruti
Jaipur,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.21,14,Honda
Kochi,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,70.36,7,Audi
Mumbai,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,2.95,16,Skoda
Kochi,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.28,13,Hyundai
Jaipur,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,3.57,16,Honda
